N,forward,backward,random
3.54297,8,8,8
3.54688,8,8,8
3.55078,8,8,8
3.55469,8,8,8
3.55859,8,8,8
3.5625,8,8,8
3.56641,8,8,8
3.57031,8,8,8
3.57422,8,8,8
3.57812,8,8,8
3.58203,8,8,8
3.58594,8,8,8
3.58984,8,8,8
3.59375,8,8,8
3.59766,8,8,8
3.60156,8,8,8
3.60547,8,8,8
3.60938,8,8,8
3.61328,8,8,8
3.61719,8,8,8
3.62109,8,8,8
3.625,8,8,8
3.62891,8,8,8
3.63281,8,8,8
3.63672,8,8,8
3.64062,8,8,8
3.64453,8,8,8
3.64844,8,8,8
3.65234,8,8,8
3.65625,8,8,8
3.66016,8,8,8
3.66406,8,8,8
3.66797,8,8,8
3.67188,8,8,8
3.67578,8,8,8
3.67969,9,9,9
3.68359,8,8,8
3.6875,8,8,8
3.69141,8,8,8
3.69531,8,8,8
3.69922,8,8,8
3.70312,8,8,8
3.70703,8,8,8
3.71094,8,8,8
3.71484,8,8,8
3.71875,8,8,8
3.72266,8,8,8
3.72656,8,8,8
3.73047,8,8,8
3.73438,8,8,8
3.73828,8,8,8
3.74219,8,8,8
3.74609,8,8,8
3.75,8,8,8
3.75391,8,8,8
3.75781,8,8,8
3.76172,8,8,8
3.76562,8,8,8
3.76953,8,8,8
3.77344,8,8,8
3.77734,8,8,8
3.78125,8,8,8
3.78516,8,8,8
3.78906,8,8,8
3.79297,8,8,8
3.79688,8,8,8
3.80078,8,8,8
3.80469,8,8,8
3.80859,8,8,8
3.8125,8,8,8
3.81641,8,8,8
3.82031,8,8,8
3.82422,8,8,8
3.82812,8,8,8
3.83203,8,8,8
3.83594,8,8,8
3.83984,8,8,8
3.84375,8,8,8
3.84766,8,8,8
3.85156,8,8,8
3.85547,8,8,8
3.85938,8,8,8
3.86328,8,8,8
3.86719,8,8,8
3.87109,8,8,8
3.875,8,8,8
3.87891,8,8,8
3.88281,8,8,8
3.88672,8,8,8
3.89062,8,8,8
3.89453,8,8,8
3.89844,8,8,8
3.90234,8,8,8
3.90625,8,8,8
3.91016,8,8,8
3.91406,8,8,8
3.91797,8,8,8
3.92188,8,8,8
3.92578,8,8,8
3.92969,8,8,8
3.93359,8,8,8
3.9375,8,8,8
3.94141,8,8,8
3.94531,8,8,8
3.94922,8,8,8
3.95312,8,8,8
3.95703,8,8,8
3.96094,8,8,8
3.96484,8,8,8
3.96875,8,8,8
3.97266,8,8,8
3.97656,8,8,8
3.98047,8,8,8
3.98438,9,9,8
3.98828,8,8,8
3.99219,8,8,8
3.99609,8,8,8
4,8,8,8
4.00391,8,8,8
4.00781,8,8,8
4.01172,8,8,8
4.01562,8,8,8
4.01953,8,8,8
4.02344,8,8,8
4.02734,8,8,8
4.03125,8,8,8
4.03516,8,8,8
4.03906,8,8,8
4.04297,8,8,8
4.04688,8,8,8
4.05078,8,8,8
4.05469,8,8,8
4.05859,8,8,8
4.0625,8,8,8
4.06641,8,8,8
4.07031,8,8,8
4.07422,8,8,8
4.07812,8,8,8
4.08203,8,8,8
4.08594,8,8,8
4.08984,8,8,8
4.09375,8,8,8
4.09766,8,8,8
4.10156,8,8,8
4.10547,8,8,8
4.10938,8,8,8
4.11328,8,8,8
4.11719,8,8,8
4.12109,8,8,8
4.125,8,8,8
4.12891,8,8,8
4.13281,8,8,8
4.13672,8,8,8
4.14062,8,8,8
4.14453,8,8,8
4.14844,8,8,8
4.15234,8,8,8
4.15625,8,8,8
4.16016,8,8,8
4.16406,8,8,8
4.16797,8,8,8
4.17188,8,8,8
4.17578,8,8,8
4.17969,8,8,8
4.18359,8,8,8
4.1875,8,8,8
4.19141,8,8,8
4.19531,8,8,8
4.19922,8,8,8
4.20312,8,8,8
4.20703,8,8,8
4.21094,8,8,8
4.21484,8,8,8
4.21875,8,8,8
4.22266,8,8,8
4.22656,8,8,8
4.23047,8,8,8
4.23438,8,8,8
4.23828,8,8,8
4.24219,8,8,8
4.24609,8,8,8
4.25,8,8,8
4.25391,8,8,8
4.25781,8,8,8
4.26172,8,8,8
4.26562,8,8,8
4.26953,8,8,8
4.27344,8,8,8
4.27734,8,8,8
4.28125,8,8,8
4.28516,8,8,8
4.28906,8,8,8
4.29297,8,8,8
4.29688,8,8,8
4.30078,8,8,8
4.30469,8,8,8
4.30859,8,8,8
4.3125,8,8,8
4.31641,8,8,8
4.32031,8,8,8
4.32422,8,8,8
4.32812,8,8,8
4.33203,8,8,8
4.33594,8,8,8
4.33984,8,8,8
4.34375,8,8,8
4.34766,8,8,8
4.35156,8,8,8
4.35547,8,8,8
4.35938,8,8,8
4.36328,8,8,8
4.36719,8,8,8
4.37109,8,8,8
4.375,8,8,8
4.37891,8,8,8
4.38281,8,8,8
4.38672,8,8,8
4.39062,8,8,8
4.39453,8,8,8
4.39844,8,8,8
4.40234,8,8,8
4.40625,8,8,8
4.41016,8,8,8
4.41406,8,8,8
4.41797,8,8,8
4.42188,8,8,8
4.42578,8,8,8
4.42969,8,8,8
4.43359,8,8,8
4.4375,8,8,8
4.44141,8,8,8
4.44531,8,8,8
4.44922,8,8,8
4.45312,8,8,8
4.45703,8,8,8
4.46094,8,8,8
4.46484,9,9,8
4.46875,8,8,8
4.47266,8,8,8
4.47656,8,8,8
4.48047,8,8,8
4.48438,8,8,8
4.48828,9,9,8
4.49219,8,8,8
4.49609,8,8,8
4.5,8,8,8
4.50391,8,8,8
4.50781,8,8,8
4.51172,8,8,8
4.51562,8,8,8
4.51953,8,8,8
4.52344,8,8,8
4.52734,8,8,8
4.53125,8,8,8
4.53516,8,8,8
4.53906,8,8,8
4.54297,8,8,8
4.54688,8,8,8
4.55078,8,8,8
4.55469,8,8,8
4.55859,8,8,8
4.5625,8,8,8
4.56641,8,8,8
4.57031,8,8,8
4.57422,8,8,8
4.57812,8,8,8
4.58203,8,8,8
4.58594,8,8,8
4.58984,8,8,8
4.59375,8,8,8
4.59766,8,8,8
4.60156,8,8,8
4.60547,8,8,8
4.60938,8,8,8
4.61328,8,8,8
4.61719,8,8,8
4.62109,8,8,8
4.625,8,8,8
4.62891,8,8,8
4.63281,8,8,8
4.63672,8,8,8
4.64062,9,9,8
4.64453,8,8,8
4.64844,8,8,8
4.65234,8,8,8
4.65625,8,8,8
4.66016,8,8,8
4.66406,8,8,8
4.66797,8,8,8
4.67188,8,8,8
4.67578,8,8,8
4.67969,8,8,8
4.68359,8,8,8
4.6875,8,8,8
4.69141,8,8,8
4.69531,8,8,8
4.69922,8,8,8
4.70312,8,8,8
4.70703,8,8,8
4.71094,8,8,8
4.71484,8,8,8
4.71875,8,8,8
4.72266,8,8,8
4.72656,8,8,8
4.73047,8,8,8
4.73438,8,8,8
4.73828,8,8,8
4.74219,8,8,8
4.74609,8,8,8
4.75,8,8,8
4.75391,8,8,8
4.75781,8,8,8
4.76172,8,8,8
4.76562,8,8,8
4.76953,8,8,8
4.77344,8,8,8
4.77734,8,8,8
4.78125,8,8,8
4.78516,8,8,8
4.78906,8,8,8
4.79297,8,8,8
4.79688,8,8,8
4.80078,8,8,8
4.80469,8,8,8
4.80859,8,8,8
4.8125,8,8,8
4.81641,8,8,8
4.82031,8,8,8
4.82422,8,8,8
4.82812,8,8,8
4.83203,8,8,8
4.83594,8,8,8
4.83984,8,8,8
4.84375,8,8,8
4.84766,8,8,8
4.85156,8,8,8
4.85547,8,8,8
4.85938,8,8,8
4.86328,8,8,8
4.86719,8,8,8
4.87109,8,8,8
4.875,8,8,8
4.87891,8,8,8
4.88281,8,8,8
4.88672,8,8,8
4.89062,8,8,8
4.89453,8,8,8
4.89844,8,8,8
4.90234,8,8,8
4.90625,8,8,8
4.91016,8,8,8
4.91406,8,8,8
4.91797,8,8,8
4.92188,8,8,8
4.92578,8,8,8
4.92969,8,8,8
4.93359,8,8,8
4.9375,8,8,8
4.94141,8,8,8
4.94531,8,8,8
4.94922,8,8,8
4.95312,8,8,8
4.95703,8,8,8
4.96094,8,8,8
4.96484,8,8,8
4.96875,8,8,8
4.97266,8,8,8
4.97656,8,8,8
4.98047,8,8,8
4.98438,8,8,8
4.98828,8,8,8
4.99219,8,8,8
4.99609,8,8,8
5,8,8,8
5.00391,8,8,8
5.00781,8,8,8
5.01172,8,8,8
5.01562,8,8,8
5.01953,8,8,8
5.02344,8,8,8
5.02734,8,8,8
5.03125,8,8,8
5.03516,8,8,8
5.03906,8,8,8
5.04297,8,8,8
5.04688,8,8,8
5.05078,8,8,8
5.05469,8,8,8
5.05859,8,8,8
5.0625,8,8,8
5.06641,8,8,8
5.07031,8,8,8
5.07422,8,8,8
5.07812,8,8,8
5.08203,8,8,8
5.08594,8,8,8
5.08984,8,8,8
5.09375,8,8,8
5.09766,8,8,8
5.10156,8,8,8
5.10547,8,8,8
5.10938,8,8,8
5.11328,8,8,8
5.11719,8,8,8
5.12109,8,8,8
5.125,8,8,8
5.12891,8,8,8
5.13281,8,8,8
5.13672,8,8,8
5.14062,8,8,8
5.14453,8,8,8
5.14844,8,8,8
5.15234,8,8,8
5.15625,8,8,8
5.16016,8,8,8
5.16406,8,8,8
5.16797,8,8,8
5.17188,8,8,8
5.17578,8,8,8
5.17969,8,8,8
5.18359,8,8,8
5.1875,8,8,8
5.19141,8,8,8
5.19531,8,8,8
5.19922,8,8,8
5.20312,8,8,8
5.20703,8,8,8
5.21094,8,8,8
5.21484,8,8,8
5.21875,8,8,8
5.22266,8,8,8
5.22656,8,8,8
5.23047,8,8,8
5.23438,8,8,8
5.23828,8,8,8
5.24219,8,8,8
